ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
580	423	Zamia		spiralis	Salisb.					5	
559	502	Zamia		sylvatica	Chamb.					5	
560	485	Zamia		tenuis	Willd.					5	
581	229	Zamia		tonkinensis	L.Linden & Rodigas					5	
652	496	Zamia		ulei		lecointei	subsp.	(Ducke) Ducke		5	
721	563	Zamia		ulei		ulei	subsp.			5	
564	485	Zamia		umbrosa	Small					5	
568	272	Zamia		vernicosa	Mast.					5	
1	443	Zamia		wielandii	J.Schust.					5	
13	441	Zamia		yatesii	Miq.					5	
