AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
180	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		panzhihuaensis	L.Zhou & S.Y.Yang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
181	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		papuana	F.Muell.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
183	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		pectinata	Buch.-Ham.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
186	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		petraea	A.Lindstr. & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
187	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		platyphylla	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
188	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		pranburiensis	S.L.Yang, W.Tang, K.D.Hill & Vatch.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
189	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		pruinosa	Maconochie		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
190	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		pygmaea	Blume		4	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
191	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		revoluta	Thunb.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
196	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		riuminiana	Porte ex Regel		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
197	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		rumphii	Miq.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
595	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		sainathii	R.C.Srivast.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
202	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		sancti-lasallei	Agoo & Madulid		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
203	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		saxatilis	K.D.Hill & A.Lindstr.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
204	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		schumanniana	Lauterb.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
205	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		scratchleyana	F.Muell.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
206	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		seemannii	Braun		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
207	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		segmentifida	D.Yue Wang & C.Y.Deng		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
208	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		semota	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
815	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		seshachalamensis	P.V.C.Rao, N.V.S.Prasad, P.M.Babu, K.Prassad & Prasanna		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
210	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		sexseminifera	F.N.Wei		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
